annee_candidature;numero_candidat;classement;nom;prenom;sexe;date_naissance;nationalite;code_postal;ville;pays;boursier;profil_candidat;numero_ine;type_etablissement;libelle_etablissement;commune_etablissement;departement_etablissement;pays_etablissement;niveau_etudes_actuel;type_formation;serie;dominante;specialite;lv1;lv2;diplome;diplome_serie;diplome_dominante;diplome_specialite;diplome_mention;diplome_mois_annee_obtention_bac
2016-2017;579603;NC;ANGLADE;Kaylee;F;1998-08-16;FR;22100;Léhon;France;Non boursier;En Terminale;L831327474S;Lycée à classe postbac;Lycée Les Cordeliers Notre Dame de la Victoire;Dinan;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;511140;NCF;ANQUETIL;Bradley;M;1997-03-02;FR;50400;Granville;France;Boursier du secondaire;En Terminale;D347019395N;Lycée à classe postbac;Lycée Sevigne;Granville;50;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;1190376;NC;ARNAL;Farran;M;1997-03-01;FR;29640;Plougonven;France;Boursier de l'enseignement supérieur;Scolarisé dans le supérieur en France;J922944075B;Lycée à classe postbac;Lycée Tristan Corbiere;Morlaix;29;France;1ère année d'études supérieures;BTS - BTSA;BTS - Production;;Conception et industrialisation en microtechniques;;;Bac français obtenu;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;Admis mention Bien;07/2015   
2016-2017;437752;NC;ARNAL;Ford;M;1998-05-29;FR;37000;Tours;France;Non boursier;En Terminale;G248541738I;Lycée à classe postbac;Lycée Paul-Louis Courier;Tours;37;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2016-2017;1115419;NC;ARNAL;Loup;M;1997-09-30;FR;35230;Bourgbarré;France;Non boursier;Scolarisé dans le supérieur en France;P994375442S;I.U.T;I.U.T. Saint-Nazaire;Saint-Nazaire;44;France;1ère année d'études supérieures;DUT;DUT - Production;;Génie industriel et maintenance;;;Bac français obtenu;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;Admis sans mention;07/2015   
2016-2017;256169;204;ARNAL;Rob;M;1998-05-01;FR;22000;Saint-Brieuc;France;Non boursier;En Terminale;C414486344E;Lycée à classe postbac;Lycée-Collège NOTRE-DAME;Guingamp;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;681121;NC;ARNAULT;Modestine;M;1997-02-09;FR;24140;Villamblard;France;Non boursier;En Terminale;P412617163E;Lycée à classe postbac;Lycée Bertran De Born;Périgueux;24;France;Terminale;Terminale;ES;;Mathématiques;Anglais;Russe;Bac en préparation;Economique et social;;Mathématiques;;
2016-2017;582011;NC;ARNOLD;Mick;M;1998-08-04;FR;56250;Saint-Nolff;France;Boursier du secondaire;En Terminale;E159371751T;Lycée à classe postbac;Lycée Alain René Lesage;Vannes;56;France;Terminale;Terminale;ES;;Mathématiques;Anglais;Espagnol;Bac en préparation;Economique et social;;Mathématiques;;
2016-2017;1206586;NP;ARNOLD;Scot;M;1997-12-18;FR;22940;Plaintel;France;Boursier de l'enseignement supérieur;Scolarisé dans le supérieur en France;G225262343M;Lycée à classe postbac;Lycée St Joseph - LaSalle Lorient;Lorient;56;France;1ère année d'études supérieures;CPGE;Classe préparatoire scientifique;;TSI;;;Bac français obtenu;Sciences et Technologies de l'Industrie et du Développement Durable;;Innovation Technologique et Eco conception;Admis mention Assez Bien;07/2015   
2016-2017;225320;NP;ARNOULD;Spencer;M;1998-03-13;FR;22580;Plouha;France;Non boursier;En Terminale;B701471877P;Lycée à classe postbac;Lycée Eugene Freyssinet;Saint-Brieuc;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;778732;NCF;ASTIER;Gustave;M;1997-03-13;FR;14840;Démouville;France;Non boursier;En Terminale;C268461302U;Lycée sans classe postbac;Lycée Expérimental;Hérouville-Saint-Clair;14;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2016-2017;434175;87;ASTRUC;Alvar;M;1998-04-10;FR;78990;Elancourt;France;Non boursier;En Terminale;P706124058D;Lycée sans classe postbac;Lycée St Exupery;Montigny-le-Bretonneux;78;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;376948;189;ASTRUC;Carita;F;1998-03-05;FR;29000;Quimper;France;Non boursier;En Terminale;O263327895Q;Lycée à classe postbac;Lycée Ste Therese;Quimper;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;674383;NC;ASTRUC;Charita;F;1998-08-16;FR;22600;La Motte;France;Non boursier;En Terminale;C435572237M;Lycée à classe postbac;Lycée Fulgence Bienvenue;Loudéac;22;France;Terminale;Terminale;STI2D;;Innovation Technologique et Eco conception;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Innovation Technologique et Eco conception;;
2016-2017;133332;NP;AUBIN;Wade;M;1998-01-26;FR;35590;L'Hermitage;France;Non boursier;En Terminale;O431173953T;Lycée à classe postbac;Lycée agricole Theodore Monod;Le Rheu;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;;
2016-2017;470941;NC;AUDIBERT;Berry;M;1998-03-09;FR;37000;Tours;France;Non boursier;En Terminale;D485637386M;Lycée à classe postbac;Lycée Grandmont;Tours;37;France;Terminale;Terminale;S;Sciences de l'ingénieur;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Mathématiques;;
2016-2017;378781;NCF;AUDIBERT;Ozzy;M;1998-07-17;FR;29200;Brest;France;Non boursier;En Terminale;N749567588V;Lycée sans classe postbac;Lycée de l'Harteloire;Brest;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;321806;222;AUFFRET;Howard;M;1998-11-09;Hors UE;22360;Langueux;France;Non boursier;En Terminale;R227104317F;Lycée à classe postbac;Lycée Ernest Renan;Saint-Brieuc;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Chinois;Diplôme équivalent au bac obtenu;Scientifique;;;Admis mention Bien;09/2014   
2016-2017;795026;NCF;AUGEREAU;Dexter;M;1997-11-11;FR;97690;Koungou;France;Boursier du secondaire;En Terminale;F038246845F;Lycée à classe postbac;Lycée Younoussa Bamana;Mamoudzou;976;France;Terminale;Terminale;STMG;;Systèmes d'information et de gestion;Anglais;Arabe;Bac en préparation;Sciences et Technologies du Management et de la Gestion;;Systèmes d'information et de gestion;;
2016-2017;412413;234;AUGEREAU;Jake;M;1998-03-16;FR;59700;Marcq-en-Baroeul;France;Non boursier;En Terminale;Z810046746Y;Lycée à classe postbac;Lycée Saint-Paul;Lille;59;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2016-2017;244111;273;AUGEREAU;Ozzie;M;1997-05-25;FR;35137;Bédée;France;Boursier du secondaire;En Terminale;H855525023E;Lycée sans classe postbac;Lycée Rene Cassin;Montfort-sur-Meu;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;440866;41;AUGUSTE;Bert;M;1998-04-05;FR;56330;Camors;France;Boursier du secondaire;En Terminale;R485135243Y;Lycée à classe postbac;Lycée Joseph Loth;Pontivy;56;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2016-2017;363695;NC;AUGUSTIN;Noah;M;1998-10-02;FR;29120;Plomeur;France;Non boursier;En Terminale;G036333774U;Lycée à classe postbac;Lycée Rene Laennec;Pont-l'Abbé;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;711476;NCF;BABIN;Raymond;M;1998-08-14;FR;22270;Jugon-les-Lacs;France;Non boursier;En Terminale;L736619273O;Lycée à classe postbac;Lycée Sacre Coeur;Saint-Brieuc;22;France;Terminale;Terminale;P;;Gestion-Administration;Anglais;Espagnol;Bac en préparation;Professionnelle;;Gestion-Administration;;
2016-2017;1145646;NP;BACHELIER;Osmund;M;1997-04-27;FR;29800;Landerneau;France;Boursier de l'enseignement supérieur;Scolarisé dans le supérieur en France;Q037085173B;Université;Université de Brest;Brest;29;France;1ère année d'études supérieures;Licences;Licence - Droit-économie-gestion;;Economie et gestion;;;Bac français obtenu;Economique et social;;Economie approfondie;Admis mention Assez Bien;07/2015   
2016-2017;773479;NCF;BACQUET;Sylvestre;M;1998-11-10;FR;56270;Ploemeur;France;Non boursier;En Terminale;C014252603N;Lycée sans classe postbac;Lycée St LOUIS;Lorient;56;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;199438;255;BAILLEUL;Diodore;M;1998-02-08;FR;22570;Plélauff;France;Non boursier;En Terminale;D845434196F;Lycée à classe postbac;Lycée Notre Dame De Campostal;Rostrenen;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;;
2016-2017;316048;NCF;BARANGER;Emerson;M;1998-06-11;FR;22000;Saint-Brieuc;France;Non boursier;En Terminale;S193681494X;Lycée sans classe postbac;Lycée Saint-Charles;Saint-Brieuc;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Allemand;Anglais;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;401371;42;BARD;Lyndon;M;1998-06-15;FR;29800;Plouédern;France;Non boursier;En Terminale;L112617577G;Lycée à classe postbac;Lycée St-Sébastien;Landerneau;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;225212;NC;BARDIN;Terrence;M;1997-11-22;FR;22590;Trégomeur;France;Non boursier;En Terminale;K166091158G;Lycée à classe postbac;Lycée Eugene Freyssinet;Saint-Brieuc;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;493418;37;BARDOU;Willow;F;1998-05-17;FR;56700;Hennebont;France;Non boursier;En Terminale;O548286430E;Lycée sans classe postbac;Lycée Notre Dame Du Voeu;Hennebont;56;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;672796;NCF;BARRAL;Chet;M;1997-11-04;FR;56000;Vannes;France;Boursier du secondaire;En Terminale;W155566606M;Lycée à classe postbac;Lycée St Joseph;Vannes;56;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Turc;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;742470;NP;BARRERE;King;M;1997-08-25;FR;29470;Plougastel-Daoulas;France;Non boursier;En Terminale;H783655576E;Lycée à classe postbac;Lycée Estran Charles De Foucauld;Brest;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;680407;205;BARRERE;Opal;F;1994-09-09;FR;44600;Saint-Nazaire;France;Boursier du secondaire;En Terminale;O544873791M;Lycée à classe postbac;Lycée Aristide Briand;Saint-Nazaire;44;France;Terminale;Terminale;P;;Gestion-Administration;Anglais;Espagnol;Bac en préparation;Professionnelle;;Gestion-Administration;;
2016-2017;742332;95;BARRIERE;Évariste;M;1998-05-17;FR;53600;Châtres-la-Forêt;France;Non boursier;En Terminale;T360508424B;Lycée à classe postbac;Lycée Immaculee Conception;Laval;53;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2016-2017;508271;NCF;BARROIS;Delroy;M;1999-10-15;FR;35120;Hirel;France;Boursier du secondaire;En Terminale;K872316833T;Lycée à classe postbac;Lycée Maupertuis;Saint-Malo;35;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2016-2017;418291;13;BARTH;Trenton;M;1998-09-12;FR;72470;Champagné;France;Boursier du secondaire;En Terminale;Y899798562U;Lycée à classe postbac;Lycée Polyvalent Touchard - Washington;Le Mans;72;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;597651;13;BARTHES;Abner;M;1998-12-05;FR;35750;Iffendic;France;Non boursier;En Terminale;E446466834G;Lycée sans classe postbac;Lycée La Providence;Montauban-de-Bretagne;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;411771;NC;BARTHES;Bryce;M;1998-12-17;FR;77166;Grisy-Suisnes;France;Non boursier;En Terminale;J602452226G;Lycée à classe postbac;Lycée Blaise Pascal;Brie-Comte-Robert;77;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;505772;NC;BARTHES;Édouard;M;1997-07-08;FR;29260;Lesneven;France;Non boursier;En Terminale;J628049034P;Lycée sans classe postbac;Lycée St Francois - Notre Dame;Lesneven;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2016-2017;399632;NP;BARTHES;Randal;M;1998-07-23;FR;29217;Plougonvelin;France;Non boursier;En Terminale;P131415833R;Lycée à classe postbac;Lycée La Croix Rouge;Brest;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;752171;NCF;BASTIDE;Jason;M;1997-07-19;FR;35120;Dol-de-Bretagne;France;Non boursier;En Terminale;U363320535L;Lycée sans classe postbac;Lycée St Magloire;Dol-de-Bretagne;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;479657;NC;BASTIDE;Lennard;M;1999-07-24;FR;61430;Athis-de-l'Orne;France;Non boursier;En Terminale;E379864847G;Lycée à classe postbac;Lycée Saint Thomas D'Aquin;Flers;61;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2016-2017;222116;NC;BASTIDE;Micheal;M;1997-08-17;FR;29200;Brest;France;Non boursier;En Terminale;A172530556P;Lycée à classe postbac;Lycée Vauban;Brest;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;529087;NC;BASTIEN;Urban;M;1998-11-09;FR;22400;Lamballe;France;Non boursier;En Terminale;E604516263A;Lycée à classe postbac;Lycée Chaptal;Saint-Brieuc;22;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Allemand;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;385111;10;BAUDET;Alger;M;1998-12-23;FR;29200;Brest;France;Non boursier;En Terminale;Z525886022N;Lycée à classe postbac;Lycée Amiral Ronarc'h;Brest;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;575648;51;BAUDET;Cleveland;M;1997-10-09;FR;37380;Saint-Laurent-en-Gâtines;France;Non boursier;En Terminale;N894863644U;Lycée à classe postbac;Lycée Jacques De Vaucanson;Tours;37;France;Terminale;Terminale;STI2D;;Energies et environnement;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Energies et environnement;;
2016-2017;1166032;12;BAUDRY;Sachie;M;1997-04-08;FR;35800;Dinard;France;Non boursier;Scolarisé dans le supérieur en France;A103169161V;Ecole;INSA Rennes;Rennes;35;France;1ère année d'études supérieures;Formations d'ingénieurs;Scientifique Première année de classe préparatoire intégrée STPI;;;;;Bac français obtenu;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Admis mention Bien;07/2015   
2016-2017;1146131;NC;BAUER;Eloi;M;1997-02-27;FR;35113;Domagné;France;Boursier de l'enseignement supérieur;Scolarisé dans le supérieur en France;S691960546H;Université;Université de Rennes 2;Rennes;35;France;1ère année d'études supérieures;Licences;Licence - Arts-lettres-langues;;Langues étrangères appliquées;;;Bac français obtenu;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;Admis sans mention;07/2015   
2016-2017;413112;262;BAUER;Martina;F;1998-06-23;FR;14600;Honfleur;France;Non boursier;En Terminale;D047863421N;Lycée sans classe postbac;Lycée Albert Sorel;Honfleur;14;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;743263;NC;BAZIN;Lynwood;M;1998-04-03;FR;35220;Châteaubourg;France;Non boursier;En Terminale;Y524137787T;Lycée à classe postbac;Lycée Bertrand D'Argentre;Vitré;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;140553;NC;BEAUDOIN;Tad;M;1995-07-24;FR;86000;Poitiers;France;Non boursier;En Terminale;X794758624K;Lycée à classe postbac;Lycée Victor-Hugo;Poitiers;86;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;;
2016-2017;1111480;NC;BEAULIEU;Milo;M;1994-01-07;FR;29810;Plouarzel;France;Non boursier;Scolarisé dans le supérieur en France;N779135825G;Ecole;ENI de Brest;Brest;29;France;2nd année d'études supérieures;Formations d'ingénieurs;Scientifique Cycle préparatoire intégré;;;;;Bac français obtenu;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;Admis mention Assez Bien;07/2014   
2016-2017;770275;NC;BEAURAIN;Harlan;M;1998-09-05;FR;22100;Brusvily;France;Boursier du secondaire;En Terminale;L063751648V;Lycée à classe postbac;Lycée De La Fontaine Des Eaux;Dinan;22;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;488981;NCF;BEAURAIN;Lancelot;M;1998-05-11;FR;29170;Saint-Evarzec;France;Non boursier;En Terminale;I010331071B;Lycée à classe postbac;Lycée Auguste Brizeux;Quimper;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;711468;NC;BECK;Blake;M;1998-09-27;FR;22590;Trégomeur;France;Non boursier;En Terminale;F342985285H;Lycée à classe postbac;Lycée Sacre Coeur;Saint-Brieuc;22;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;508260;NC;BECK;Isadore;M;1997-03-04;FR;35120;Epiniac;France;Non boursier;En Terminale;O637464566W;Lycée à classe postbac;Lycée Maupertuis;Saint-Malo;35;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;633018;NCF;BECKER;Erle;M;1996-10-26;FR;29000;Quimper;France;Non boursier;En Terminale;T822941667T;Lycée à classe postbac;Lycée Yves Thepot;Quimper;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;1080505;NC;BECKER;Sherlock;M;1996-04-14;FR;14220;Boulon;France;Non boursier;Non scolarisé;D497244594E;Université;Université de Caen Normandie;Caen;14;France;1ère année d'études supérieures;Licences;;;;;;Bac français obtenu;Scientifique;Sciences de l'ingénieur;Pas de spécialité (S.I);Admis sans mention;07/2015   
