annee_univ;no_semestre;code_nip;rg;civilite;nom;prenom;bac;groupe_td_1a;groupe_tp_1a;moy;ue11;m1101;m1102;m1103;m1104;m1105;m1106;ue12;m1201;m1202;m1203;m1204;m1205;m1206;m1207
2018-2019;S1;26240388211;47;M.;COURTIN;Marly;S;J1;J;12,06;11,79;10,52;10,29;7,60;13,93;14,81;15,25;12,40;11,50;8,10;10,83;13,25;16,00;11,58;17,50
2018-2019;S1;81697021837;70;M.;PEYRARD;Topher;S;H2;H;11,40;10,80;9,13;10,29;6,55;14,71;11,31;13,00;12,18;10,85;9,20;13,83;11,25;15,00;11,58;16,50
2018-2019;S1;78183470343;73;M.;LECOINTE;Randall;S;G1;G;11,35;11,28;8,35;14,71;7,70;11,67;13,19;12,00;11,44;14,80;9,45;10,92;8,75;12,50;9,08;16,00
2018-2019;S1;47558186344;9;Mme;CHABAUD;Lucetta;S;G1;G;14,44;14,11;12,51;17,02;14,80;11,33;16,13;13,00;14,87;16,00;10,48;13,33;16,25;13,50;18,17;17,50
2016-2017;S1;30001247453;51;M.;DUQUENNE;Jonathan;S;I;I2;10,90;10,30;9,44;11,29;10,85;7,92;11,46;12,75;11,68;14,15;13,50;8,67;9,33;11,17;11,63;13,38
2016-2017;S1;14936031419;63;M.;GROSJEAN;Maximilien;TI2D;H;H2;10,15;11,26;11,32;10,23;10,20;6,67;16,08;18,00;8,69;9,37;1,00;8,50;8,17;10,83;11,50;15,50
2016-2017;S1;66864439578;36;M.;LABADIE;Eliott;S;F;F1;11,74;10,93;10,99;8,93;11,25;11,44;11,67;12,50;12,81;14,29;13,50;10,00;11,83;12,83;13,88;12,75
2017-2018;S1;61457276305;80;M.;HUGUES;Gratien;S;I;I1;10,86;10,71;11,74;11,68;4,45;7,17;14,13;19,00;11,05;12,00;8,67;10,67;11,50;11,97;10,44;12,00
2016-2017;S1;61457276305;70;M.;HUGUES;Gratien;S;I;I1;9,71;9,39;10,32;7,20;7,65;8,00;11,75;14,50;10,14;12,74;4,50;8,17;10,42;10,60;12,63;12,50
2018-2019;S1;48472152087;68;M.;PRIVAT;Brice;S;G2;G;11,56;10,90;9,35;11,19;8,90;12,79;11,38;12,00;12,42;13,80;8,04;11,33;13,75;14,00;12,58;12,63
2017-2018;S1;48472152087;108;M.;PRIVAT;Brice;S;H;H1;8,97;6,86;7,15;6,79;3,55;4,23;9,29;14,00;11,71;10,25;8,67;12,50;14,75;12,40;10,94;12,50
2017-2018;S1;50432205473;63;M.;MAGNE;Major;S;H;H1;11,80;12,37;14,52;12,82;14,60;7,05;12,96;14,00;11,05;12,25;8,27;10,83;12,17;10,93;10,63;12,00
2017-2018;S1;67849296226;37;Mme;BEAUDOIN;Felicity;S;G;G2;12,73;11,50;9,59;11,84;10,20;9,65;13,54;18,25;14,33;13,50;15,60;12,33;16,17;14,87;11,00;16,25
2017-2018;S1;29054227466;5;M.;TRANCHANT;Oz;S;I;I2;16,01;15,85;15,25;14,11;17,10;16,25;15,75;18,50;16,22;18,75;16,80;13,17;15,25;16,00;16,00;16,50
2018-2019;S1;52340731515;40;M.;BARRY;Kipling;S;I1;I;12,26;12,48;10,93;14,07;10,40;13,22;13,13;13,00;11,97;-c-;-c-;-c-;-c-;-c-;-c-;-c-
2017-2018;S1;52340731515;101;M.;BARRY;Kipling;S;F;F1;9,56;7,72;7,55;8,59;7,00;10,80;0,00;13,00;11,97;16,00;10,80;11,42;8,58;12,67;10,38;14,50
2017-2018;S1;65862445151;96;M.;PIRIOU;Vinnie;TI2D;H;H2;10,15;8,61;8,38;7,79;6,75;6,78;11,88;13,00;12,17;10,75;13,20;11,25;12,75;11,90;13,00;12,88
2017-2018;S1;86546223573;18;M.;LEBAS;Layton;TI2D;F;F1;13,79;14,63;12,59;14,93;15,65;13,98;16,13;16,00;12,68;15,00;12,40;11,42;9,50;14,80;12,25;13,75
2017-2018;S1;10519776610;74;M.;GUIBERT;Johnie;TI2D;F;F1;11,32;11,16;11,24;10,66;11,45;8,52;14,63;12,00;11,53;13,25;8,27;9,25;8,33;12,33;18,38;13,25
2018-2019;S1;41587332413;4;M.;MAIRE;Telesphore;TI2D;J1;J;15,32;16,51;15,68;16,29;15,60;17,33;16,56;18,50;13,76;17,00;12,71;10,83;13,25;12,00;14,33;16,13
2017-2018;S1;41587332413;104;M.;MAIRE;Telesphore;TI2D;I;I2;9,36;8,42;9,42;6,33;5,50;4,90;13,83;15,00;10,60;11,50;12,00;10,00;11,67;7,30;9,00;12,75
2016-2017;S1;26785909414;35;M.;PEAN;Phillip;S;G;G1;11,78;11,58;9,37;13,76;15,95;7,56;13,21;11,00;12,04;14,76;11,00;8,50;11,50;13,50;11,75;11,50
