annee_inscription;etape;libel_etape;version_etape;num_etudiant;ine;nom;prenom;date_naissance;sexe;nationalite;code_postal;ville;cat_socio_etudiant;cat_socio_parent;bac;mention;annee_bac;departement_bac;etablissement_bac;lib_etab_bac;situ_annee_prec;bourse_superieur
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;56262202567;F175932748M;FERET;Quanah;2000-11-23;M;FRANCAIS(E);35240;LE THEIL-DE-BRETAGNE;Personne sans activite professionnelle;Technicien;S;AB;2018;35;0350029S;JOLIOT-CURIE;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;82579808110;D774810635L;RIGAUD;Alain;2000-09-05;M;FRANCAIS(E);35131;CHARTRES-DE-BRETAGNE;Personne sans activite professionnelle;Contremaitre-agent de maitrise;S;AB;2018;35;0352686E;LYCEE Gal ET TECHN. ANITA CONTI;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;82579808110;D774810635L;RIGAUD;Alain;2000-09-05;M;FRANCAIS(E);35131;CHARTRES-DE-BRETAGNE;Personne sans activite professionnelle;Contremaitre-agent de maitrise;S;AB;2018;35;0352686E;LYCEE Gal ET TECHN. ANITA CONTI;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;47273331783;O651134182S;LAFOSSE;Roderick;2001-11-15;M;FRANCAIS(E);35360;MEDREAC;Personne sans activite professionnelle;Professeur, profession scientifique;S;B;2018;35;0350029S;JOLIOT-CURIE;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;47273331783;O651134182S;LAFOSSE;Roderick;2001-11-15;M;FRANCAIS(E);35360;MEDREAC;Personne sans activite professionnelle;Professeur, profession scientifique;S;B;2018;35;0350029S;JOLIOT-CURIE;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;59140428015;G753171043J;FAYE;Joel;2000-02-03;M;FRANCAIS(E);22630;LES CHAMPS-GERAUX;Personne sans activite professionnelle;Profession liberale;S;AB;2018;22;0220013V;FONTAINE DES EAUX;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;59140428015;G753171043J;FAYE;Joel;2000-02-03;M;FRANCAIS(E);22630;LES CHAMPS-GERAUX;Personne sans activite professionnelle;Profession liberale;S;AB;2018;22;0220013V;FONTAINE DES EAUX;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;52282348013;I868745363V;LOUVEL;Aaron;2000-08-19;M;FRANCAIS(E);35132;VEZIN-LE-COQUET;Personne sans activite professionnelle;Employe administratif d'entreprise;S;B;2018;35;0350030T;PIERRE MENDES FRANCE;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;52282348013;I868745363V;LOUVEL;Aaron;2000-08-19;M;FRANCAIS(E);35132;VEZIN-LE-COQUET;Personne sans activite professionnelle;Employe administratif d'entreprise;S;B;2018;35;0350030T;PIERRE MENDES FRANCE;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;78417625114;A422229734T;CANET;Cesaire;2000-12-19;M;FRANCAIS(E);22560;TREBEURDEN;Elève/Etudiant;Ingenieur cadre technique d'entreprise;S;B;2018;22;0220023F;FELIX LE DANTEC;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;78417625114;A422229734T;CANET;Cesaire;2000-12-19;M;FRANCAIS(E);22560;TREBEURDEN;Elève/Etudiant;Ingenieur cadre technique d'entreprise;S;B;2018;22;0220023F;FELIX LE DANTEC;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;31842452166;S265017228V;SEGUY;Ariana;2000-09-06;F;FRANCAIS(E);35740;PACE;Personne sans activite professionnelle;Professeur, profession scientifique;S;AB;2018;35;0352009U;LYCEE VICTOR ET HELENE BASCH;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;31842452166;S265017228V;SEGUY;Ariana;2000-09-06;F;FRANCAIS(E);35740;PACE;Personne sans activite professionnelle;Professeur, profession scientifique;S;AB;2018;35;0352009U;LYCEE VICTOR ET HELENE BASCH;A;
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;53479954513;T182661623Z;BRAUD;Iréné;2000-06-26;M;FRANCAIS(E);22120;YFFINIAC;Elève/Etudiant;Contremaitre-agent de maitrise;S;AB;2018;22;0220057T;ERNEST RENAN;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;53479954513;T182661623Z;BRAUD;Iréné;2000-06-26;M;FRANCAIS(E);22120;YFFINIAC;Elève/Etudiant;Contremaitre-agent de maitrise;S;AB;2018;22;0220057T;ERNEST RENAN;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;77392266683;W357810961B;MONTEIRO;Kemp;2000-09-14;M;FRANCAIS(E);56700;HENNEBONT;Personne sans activite professionnelle;Technicien;S;P;2018;56;0560098C;PRIVE NOTRE DAME DU VOEU;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;77392266683;W357810961B;MONTEIRO;Kemp;2000-09-14;M;FRANCAIS(E);56700;HENNEBONT;Personne sans activite professionnelle;Technicien;S;P;2018;56;0560098C;PRIVE NOTRE DAME DU VOEU;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;32164344291;M337886212T;HERRY;Arn;2000-06-20;M;FRANCAIS(E);35290;MUEL;Personne sans activite professionnelle;Artisan;S;AB;2018;35;0352235P;RENE CASSIN;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;32164344291;M337886212T;HERRY;Arn;2000-06-20;M;FRANCAIS(E);35290;MUEL;Personne sans activite professionnelle;Artisan;S;AB;2018;35;0352235P;RENE CASSIN;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;17101168132;U873836379G;LE BRUN;Bennie;2000-05-26;M;FRANCAIS(E);22410;LANTIC;Personne sans activite professionnelle;Sans profession -60 ans (hors retraité);S;P;2018;22;0220057T;ERNEST RENAN;C;Bourse de l'enseignement supérieur
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;17101168132;U873836379G;LE BRUN;Bennie;2000-05-26;M;FRANCAIS(E);22410;LANTIC;Personne sans activite professionnelle;Sans profession -60 ans (hors retraité);S;P;2018;22;0220057T;ERNEST RENAN;A;Bourse enseignement supérieur définitive
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;97631784582;X798020174K;DUCROS;Prue;2000-06-06;F;FRANCAIS(E);22300;PLOUMILLIAU;Personne sans activite professionnelle;Professeur, profession scientifique;S;B;2018;22;0220023F;FELIX LE DANTEC;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;97631784582;X798020174K;DUCROS;Prue;2000-06-06;F;FRANCAIS(E);22300;PLOUMILLIAU;Personne sans activite professionnelle;Professeur, profession scientifique;S;B;2018;22;0220023F;FELIX LE DANTEC;A;
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;32285051217;C140001888Y;MENGUY;Franck;2000-03-21;M;FRANCAIS(E);35340;LIFFRE;Elève/Etudiant;Policier et militaire;S;AB;2018;35;0350029S;JOLIOT-CURIE;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;32285051217;C140001888Y;MENGUY;Franck;2000-03-21;M;FRANCAIS(E);35340;LIFFRE;Elève/Etudiant;Policier et militaire;S;AB;2018;35;0350029S;JOLIOT-CURIE;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;65432436221;R287133151O;MORICE;Denzil;1999-09-20;M;FRANCAIS(E);22730;TREGASTEL;Personne sans activite professionnelle;Employe de commerce;21;B;2018;22;0220083W;FELIX LE DANTEC;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;65432436221;R287133151O;MORICE;Denzil;1999-09-20;M;FRANCAIS(E);22730;TREGASTEL;Personne sans activite professionnelle;Employe de commerce;21;B;2018;22;0220083W;FELIX LE DANTEC;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;83323096490;K541081773T;GUEDON;Crawford;2000-03-18;M;FRANCAIS(E);22200;PLOUISY;Personne sans activite professionnelle;Profession interm adm de la fonction pub;S;P;2018;22;0220018A;AUGUSTE PAVIE;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;83323096490;K541081773T;GUEDON;Crawford;2000-03-18;M;FRANCAIS(E);22200;PLOUISY;Personne sans activite professionnelle;Profession interm adm de la fonction pub;S;P;2018;22;0220018A;AUGUSTE PAVIE;A;Bourse enseignement supérieur définitive
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;74882344773;O977679563K;HERAULT;Michael;2000-05-14;M;FRANCAIS(E);22290;LANVOLLON;Personne sans activite professionnelle;Ouvriers qualifiés de type industriel;S;B;2018;22;0220058U;CHAPTAL;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;74882344773;O977679563K;HERAULT;Michael;2000-05-14;M;FRANCAIS(E);22290;LANVOLLON;Personne sans activite professionnelle;Ouvriers qualifiés de type industriel;S;B;2018;22;0220058U;CHAPTAL;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;68778456242;G792721778L;GEORGET;Kaden;2001-01-16;M;FRANCAIS(E);50300;VAINS;Elève/Etudiant;Employe de commerce;S;B;2018;50;0500002F;EMILE LITTRE;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;68778456242;G792721778L;GEORGET;Kaden;2001-01-16;M;FRANCAIS(E);50300;VAINS;Personne sans activite professionnelle;Employe de commerce;S;B;2018;50;0500002F;EMILE LITTRE;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;72463463746;U979462318Q;LECOCQ;Aldous;2000-02-28;M;FRANCAIS(E);22190;PLERIN;Elève/Etudiant;Cadre de la fonction publique;S;P;2018;22;0220057T;ERNEST RENAN;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;72463463746;U979462318Q;LECOCQ;Aldous;2000-02-28;M;FRANCAIS(E);22190;PLERIN;Personne sans activite professionnelle;Cadre de la fonction publique;S;P;2018;22;0220057T;ERNEST RENAN;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;72696646681;M128286201Y;COURT;Ronda;2000-03-09;F;FRANCAIS(E);35000;RENNES;Personne sans activite professionnelle;Ingenieur cadre technique d'entreprise;S;AB;2018;35;0350030T;PIERRE MENDES FRANCE;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;72696646681;M128286201Y;COURT;Ronda;2000-03-09;F;FRANCAIS(E);35000;RENNES;Personne sans activite professionnelle;Ingenieur cadre technique d'entreprise;S;AB;2018;35;0350030T;PIERRE MENDES FRANCE;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;42257108167;R104756812L;MAS;Branden;2000-08-16;M;FRANCAIS(E);35220;CHATEAUBOURG;Personne sans activite professionnelle;Ingenieur cadre technique d'entreprise;S;AB;2018;35;0350029S;JOLIOT-CURIE;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;42257108167;R104756812L;MAS;Branden;2000-08-16;M;FRANCAIS(E);35220;CHATEAUBOURG;Personne sans activite professionnelle;Ingenieur cadre technique d'entreprise;S;AB;2018;35;0350029S;JOLIOT-CURIE;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;79443225718;D890478297F;MUNOZ;Alf;2000-12-14;M;FRANCAIS(E);22960;PLEDRAN;Personne sans activite professionnelle;Ouvriers qualifiés de type industriel;S;P;2018;22;0220057T;ERNEST RENAN;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;79443225718;D890478297F;MUNOZ;Alf;2000-12-14;M;FRANCAIS(E);22960;PLEDRAN;Personne sans activite professionnelle;Ouvriers qualifiés de type industriel;S;P;2018;22;0220057T;ERNEST RENAN;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;22671638372;J173245684S;LEPINE;Baudouin;2000-06-08;M;FRANCAIS(E);29390;SCAER;Personne sans activite professionnelle;Ouvriers qualifiés de type industriel;S;AB;2018;29;0290174G;PRIVE ND DE KERBERTRAND;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;22671638372;J173245684S;LEPINE;Baudouin;2000-06-08;M;FRANCAIS(E);29390;SCAER;Personne sans activite professionnelle;Ouvriers qualifiés de type industriel;S;AB;2018;29;0290174G;PRIVE ND DE KERBERTRAND;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;22351813143;E489058957N;GAUVIN;Dax;2000-07-25;M;FRANCAIS(E);29000;QUIMPER;Personne sans activite professionnelle;Cadre administratif et commercial d'entr;TI2D;AB;2018;29;0290170C;PRIVE LE LIKES;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;22351813143;E489058957N;GAUVIN;Dax;2000-07-25;M;FRANCAIS(E);29000;QUIMPER;Personne sans activite professionnelle;Cadre administratif et commercial d'entr;TI2D;AB;2018;29;0290170C;PRIVE LE LIKES;A;
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;41446020147;R894729783U;DUPRAT;Everard;2000-04-04;M;FRANCAIS(E);29380;BANNALEC;Elève/Etudiant;Retraité artisan-commerce-chef entrepris;S;P;2018;29;0290071V;YVES THEPOT;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;41446020147;R894729783U;DUPRAT;Everard;2000-04-04;M;FRANCAIS(E);29380;BANNALEC;Elève/Etudiant;Retraité artisan-commerce-chef entrepris;S;P;2018;29;0290071V;YVES THEPOT;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;63185228288;E663113538J;METAYER;Phil;2000-05-26;M;FRANCAIS(E);22100;DINAN;Elève/Etudiant;Profession interm sante et  trav. social;S;P;2018;22;0220013V;FONTAINE DES EAUX;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;63185228288;E663113538J;METAYER;Phil;2000-05-26;M;FRANCAIS(E);22100;DINAN;Elève/Etudiant;Profession interm sante et  trav. social;S;P;2018;22;0220013V;FONTAINE DES EAUX;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;22152504326;V402151261N;CHRISTOPHE;Celestine;1999-09-24;M;FRANCAIS(E);35340;LIFFRE;Elève/Etudiant;Cadre de la fonction publique;TI2D;AB;2018;35;0350793X;PRIVE ST ETIENNE;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;22152504326;V402151261N;CHRISTOPHE;Celestine;1999-09-24;M;FRANCAIS(E);35340;LIFFRE;Elève/Etudiant;Cadre de la fonction publique;TI2D;AB;2018;35;0350793X;PRIVE ST ETIENNE;A;Bourse enseignement supérieur définitive
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;71887646649;H220347363C;LEPINAY;Cassian;2000-08-03;M;FRANCAIS(E);35750;IFFENDIC;Elève/Etudiant;Employe civil-agent de service de la FP;S;B;2018;35;0350030T;PIERRE MENDES FRANCE;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;71887646649;H220347363C;LEPINAY;Cassian;2000-08-03;M;FRANCAIS(E);35750;IFFENDIC;Elève/Etudiant;Employe civil-agent de service de la FP;S;B;2018;35;0350030T;PIERRE MENDES FRANCE;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;24754380362;Q067416832O;GODART;Ricky;2000-03-12;M;FRANCAIS(E);22120;HILLION;Elève/Etudiant;Ouvriers qualifiés de type industriel;S;P;2018;22;0220056S;RABELAIS;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;24754380362;Q067416832O;GODART;Ricky;2000-03-12;M;FRANCAIS(E);22120;HILLION;Elève/Etudiant;Ouvriers qualifiés de type industriel;S;P;2018;22;0220056S;RABELAIS;A;Bourse enseignement supérieur définitive
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;82789260357;X733085977R;PEDRON;Richard;2000-02-10;M;FRANCAIS(E);22230;SAINT-VRAN;Elève/Etudiant;Ouvrier qualifie;S;AB;2018;22;0220027K;LYCEE GENERAL ET TECHNOLOGIQUE;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;82789260357;X733085977R;PEDRON;Richard;2000-02-10;M;FRANCAIS(E);22230;SAINT-VRAN;Elève/Etudiant;Ouvrier qualifie;S;AB;2018;22;0220027K;LYCEE GENERAL ET TECHNOLOGIQUE;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;54597826387;U297239131K;QUINTIN;Hedley;2000-03-03;M;FRANCAIS(E);22600;SAINT-CARADEC;Personne sans activite professionnelle;Person. service direct aux particuliers;S;AB;2018;22;0220027K;LYCEE GENERAL ET TECHNOLOGIQUE;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;54597826387;U297239131K;QUINTIN;Hedley;2000-03-03;M;FRANCAIS(E);22600;SAINT-CARADEC;Personne sans activite professionnelle;Person. service direct aux particuliers;S;AB;2018;22;0220027K;LYCEE GENERAL ET TECHNOLOGIQUE;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;25251958137;W865369555G;BUREL;Austen;2000-11-30;M;FRANCAIS(E);56800;LOYAT;Elève/Etudiant;Retraité employé;S;P;2018;56;0560105K;PRIVE LA MENNAIS;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;25251958137;W865369555G;BUREL;Austen;2000-11-30;M;FRANCAIS(E);56800;LOYAT;Personne sans activite professionnelle;Retraité employé;S;P;2018;56;0560105K;PRIVE LA MENNAIS;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;56229584521;G307184327G;MONIN;Bud;2000-09-19;M;FRANCAIS(E);35000;RENNES;Personne sans activite professionnelle;Retraité cadre;S;B;2018;35;0350026N;JEAN MACE;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;56229584521;G307184327G;MONIN;Bud;2000-09-19;M;FRANCAIS(E);35000;RENNES;Personne sans activite professionnelle;Retraité cadre;S;B;2018;35;0350026N;JEAN MACE;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;47165510415;V081309573B;GALLAIS;Bram;2000-04-13;M;FRANCAIS(E);22100;BOBITAL;Personne sans activite professionnelle;Technicien;S;AB;2018;22;0220013V;FONTAINE DES EAUX;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;47165510415;V081309573B;GALLAIS;Bram;2000-04-13;M;FRANCAIS(E);22100;BOBITAL;Personne sans activite professionnelle;Technicien;S;AB;2018;22;0220013V;FONTAINE DES EAUX;A;Bourse enseignement supérieur définitive
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;22639313660;D668897281H;FERRIER;Olivier;2000-10-24;M;FRANCAIS(E);35140;SAINT-HILAIRE-DES-LANDES;Elève/Etudiant;Policier et militaire;S;AB;2018;35;0350011X;JEAN GUEHENNO;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;22639313660;D668897281H;FERRIER;Olivier;2000-10-24;M;FRANCAIS(E);35140;SAINT-HILAIRE-DES-LANDES;Personne sans activite professionnelle;Policier et militaire;S;AB;2018;35;0350011X;JEAN GUEHENNO;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;12448362628;R514516756D;FLAMENT;Becka;2000-09-04;F;FRANCAIS(E);29800;PENCRAN;Personne sans activite professionnelle;Technicien;ES;B;2018;29;0290044R;DE L ELORN;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;12448362628;R514516756D;FLAMENT;Becka;2000-09-04;F;FRANCAIS(E);29800;PENCRAN;Personne sans activite professionnelle;Technicien;ES;B;2018;29;0290044R;DE L ELORN;A;
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;55308849204;Q335566085G;SYLVESTRE;Jacqueline;2000-04-03;F;FRANCAIS(E);35230;ORGERES;Personne sans activite professionnelle;Technicien;S;AB;2018;35;0350028R;BREQUIGNY STS;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;55308849204;Q335566085G;SYLVESTRE;Jacqueline;2000-04-03;F;FRANCAIS(E);35230;ORGERES;Personne sans activite professionnelle;Technicien;S;AB;2018;35;0350028R;BREQUIGNY STS;A;
