annee_univ;no_semestre;code_nip;rg;civilite;nom;prenom;bac;groupe_td_1a;groupe_tp_1a;moy;ue21;m2101;m2102;m2103;m2104;m2105;m2106;m2107;ue22;m2201;m2202;m2203;m2204;m2205;m2206;m2207;l2sportf;l2lv2_f
2018-2019;S2;61109689872;90;M.;CHABERT;Trevelyan;TI2D;I;I2;11,07;11,40;4,53;8,50;13,20;14,67;11,83;9,39;13,50;10,69;9,17;4,00;13,32;12,00;14,67;10,19;13,25;NI;NI
2018-2019;S2;66455703887;99;M.;LE BRUN;Henderson;S;H;H2;10,56;10,12;7,40;8,00;11,60;7,50;12,54;7,63;14,50;11,07;5,78;6,00;13,56;13,42;13,83;14,19;11,48;NI;NI
2018-2019;S2;98435405757;1;M.;DESBOIS;Jeannot;S;H;H1;20,00;9,93;5,77;11,50;8,65;6,17;10,96;12,98;13,75;10,89;13,22;6,00;11,66;7,00;14,83;11,44;11,05;19,00;NI
2018-2019;S2;78351315317;1;M.;MAURIN;Lockie;S;F;F2;20,00;15,46;19,80;20,00;14,35;11,50;14,84;18,34;12,90;11,66;12,47;8,00;14,12;12,67;8,83;11,56;12,50;15,00;NI
2018-2019;S2;63904531666;113;M.;LOCATELLI;Roger;S;H;H1;9,48;9,74;5,07;12,00;10,00;9,58;10,42;11,68;8,00;9,19;6,06;8,00;11,25;8,75;9,67;10,06;11,00;NI;NI
2018-2019;S2;85259362936;1;M.;LALANDE;Tyrone;S;G;G2;20,00;9,67;5,67;9,25;10,05;8,17;13,50;9,99;9,00;10,18;7,78;6,00;11,82;10,17;11,67;11,59;13,83;17,00;NI
2017-2018;S2;35845038449;1;M.;LASSERRE;Tylor;S;I;I2;20,00;16,70;18,00;18,50;18,75;10,58;15,32;18,83;17,50;16,13;14,72;20,00;15,17;14,67;18,58;14,63;17,13;14,00;NI
2018-2019;S2;36031070461;1;M.;COLOMBEL;Davin;S;F;F1;20,00;11,23;7,83;11,75;10,30;10,83;9,11;15,34;13,00;11,18;7,94;12,00;10,17;5,67;13,67;16,97;10,67;11,00;NI
2018-2019;S2;57723617423;45;M.;FOUCHE;Wat;S;G;G1;13,53;13,05;15,53;18,00;11,10;11,50;14,92;13,03;10,50;14,09;14,22;14,00;14,45;6,83;16,00;16,19;15,58;NI;NI
2018-2019;S2;87970167548;1;M.;RAMON;Rodolph;S;H;H1;20,00;11,74;6,73;18,00;12,40;8,83;10,79;12,34;13,75;11,35;9,67;9,00;8,65;12,50;14,83;15,94;9,92;12,00;NI
2016-2017;S2;24245487449;28;M.;BLIN;Clinton;S;H;H2;15,18;15,94;18,33;9,75;17,54;16,93;16,55;15,50;14,50;14,33;16,63;10,63;14,44;13,33;16,83;13,81;14,67;NI;NI
2016-2017;S2;98565076721;53;M.;CARLE;Rudolph;S;I;I1;11,25;11,34;10,31;12,00;11,50;14,43;9,97;10,69;10,00;11,14;11,88;8,75;7,51;14,67;13,13;14,47;8,33;NI;NI
2018-2019;S2;55765774440;31;M.;MILON;Alden;S;I;I2;15,19;15,27;16,93;19,25;15,15;15,67;14,83;15,49;11,00;15,09;17,39;12,00;14,05;17,17;15,50;16,31;11,92;NI;NI
2017-2018;S2;85467112057;1;M.;JOUBERT;Dawson;TI2D;G;G1;20,00;10,93;5,83;9,38;12,94;10,00;11,94;9,17;14,50;10,31;6,28;11,00;10,92;10,33;10,25;10,78;16,13;10,00;NI
2016-2017;S2;85467112057;78;M.;JOUBERT;Dawson;TI2D;G;G2;8,49;7,77;3,40;5,00;9,67;7,63;8,76;5,17;12,00;9,32;7,13;6,25;9,45;7,67;11,12;11,72;14,34;NI;NI
2016-2017;S2;34736676136;27;M.;TOUTAIN;Oz;S;H;H2;15,26;15,55;17,17;13,25;18,58;15,87;14,96;16,41;10,00;14,94;18,38;16,50;12,65;13,67;13,88;14,66;14,25;NI;NI
2016-2017;S2;56315442242;1;M.;LECHAT;Donatien;TI2D;F;F2;20,00;13,00;12,63;10,50;17,17;11,87;9,56;8,67;19,00;10,73;9,88;6,13;10,27;12,33;12,72;11,75;15,49;18,00;10,50
2016-2017;S2;79123188899;66;M.;BOUCARD;Dalton;S;H;H1;10,09;8,87;9,07;7,50;8,13;11,37;9,98;6,11;10,00;11,48;12,38;11,13;10,48;9,67;13,68;12,06;10,91;NI;NI
2016-2017;S2;31714444250;57;Mme;LE FUR;Chastity;S;F;F2;10,71;10,64;7,17;7,00;13,00;12,17;7,71;7,94;17,00;10,79;7,50;12,13;11,00;6,67;13,42;12,59;13,42;NI;NI
2016-2017;S2;23444780524;30;Mme;KREMER;Isidora;S;I;I1;15,01;15,26;13,13;12,25;17,83;18,03;11,06;15,99;15,50;14,73;16,25;12,75;13,05;14,00;16,88;16,31;13,83;NI;NI
2017-2018;S2;84764744006;1;Mme;ALLART;Jocelin;S;G;G1;20,00;17,84;17,83;17,75;18,44;18,42;17,86;19,17;14,50;16,77;19,44;20,00;16,35;13,67;17,83;13,75;15,50;20,00;NI
2017-2018;S2;16778872302;56;M.;AUCLAIR;Quincy;S;G;G2;12,16;11,51;7,42;15,50;14,75;10,08;9,82;8,33;13,75;12,92;10,56;7,00;12,41;12,33;16,00;17,19;17,75;NI;NI
2017-2018;S2;84068850653;68;M.;LE BERRE;Den;ES;G;G2;11,14;11,95;6,00;12,00;14,88;12,17;11,85;9,83;13,75;10,22;6,83;4,00;12,38;8,00;11,67;15,56;12,50;NI;NI
2016-2017;S2;44188646219;25;M.;FERRE;Newton;S;G;G2;15,84;16,38;18,00;16,75;18,83;15,32;15,27;14,25;16,00;15,21;15,88;19,13;12,69;14,33;17,25;13,94;14,76;NI;NI
2018-2019;S2;37437747278;65;M.;LE GAC;Aurelien;S;H;H2;12,39;12,74;12,00;14,75;12,15;11,00;11,21;16,67;12,00;12,00;15,11;10,00;12,97;11,00;14,67;9,31;9,50;NI;NI
2016-2017;S2;43764613672;29;M.;GRANGER;Bristol;ES;G;G1;15,04;17,00;17,63;13,50;19,25;17,78;15,87;17,50;15,00;12,81;14,13;9,25;13,43;8,00;17,48;13,91;12,26;NI;NI
2016-2017;S2;67345565768;62;M.;WOLFF;Freeman;S;H;H2;10,41;10,33;9,30;10,00;11,92;11,77;10,94;7,11;10,00;10,50;10,50;9,38;8,68;11,33;12,30;10,66;13,85;NI;NI
2016-2017;S2;84317827971;37;M.;LAFITTE;Horsa;S;F;F2;12,74;14,45;14,67;15,00;16,42;15,13;12,13;11,44;16,25;10,78;10,13;6,50;11,53;7,67;11,23;15,31;11,34;NI;NI
2016-2017;S2;40145107425;46;M.;LENORMAND;Denton;S;F;F2;11,79;12,93;7,73;8,25;15,17;12,83;11,93;11,94;19,00;10,48;7,50;7,50;9,85;12,00;12,33;12,44;15,83;NI;NI
2016-2017;S2;42444562121;1;M.;LE DU;Corbin;S;F;F1;20,00;16,34;17,47;15,50;17,83;16,93;15,51;14,56;16,00;13,77;14,50;15,88;11,22;10,67;15,25;15,38;13,84;14,00;NI
2016-2017;S2;82843547354;38;M.;TUAL;Aimée;S;F;F1;12,70;13,62;11,50;11,00;15,96;14,95;12,11;12,28;15,00;11,64;10,25;8,13;10,87;13,67;14,83;13,16;12,85;NI;NI
2017-2018;S2;21315356809;1;Mme;HERAULT;Veronica;S;I;I1;20,00;12,27;10,50;12,63;15,00;12,00;10,66;12,67;10,38;11,67;13,33;5,00;10,97;8,67;16,50;12,75;17,50;20,00;NI
2016-2017;S2;21315356809;1;Mme;HERAULT;Veronica;S;G;G2;20,00;8,09;4,43;4,00;6,33;12,17;9,79;7,08;11,00;8,27;2,00;7,38;10,29;8,00;8,17;10,69;14,15;15,00;NI
2016-2017;S2;95366442477;36;M.;FERET;Zack;S;F;F1;13,00;13,69;11,27;11,00;17,63;13,90;13,11;10,56;15,00;12,22;9,63;10,75;12,02;12,00;14,73;14,75;12,49;NI;NI
2017-2018;S2;47848828226;95;M.;JOLLY;Orville;S;H;H2;9,58;8,75;6,17;13,75;9,50;7,17;8,89;5,67;11,25;10,53;2,22;14,00;11,10;12,00;14,17;12,28;10,63;NI;NI
2017-2018;S2;57694696125;1;M.;MARTEAU;Paul;S;H;H1;20,00;12,45;2,33;12,13;16,25;9,92;13,02;13,75;14,50;12,05;14,33;10,00;10,23;10,33;12,55;13,13;15,00;19,00;NI
2016-2017;S2;57694696125;1;M.;MARTEAU;Paul;S;H;H1;20,00;8,15;6,47;10,50;9,54;9,80;7,66;5,57;7,00;11,49;14,38;10,00;8,22;10,33;12,55;12,81;13,98;18,00;NI
2016-2017;S2;88251791457;52;M.;DELPIERRE;Jamar;S;G;G2;11,32;11,94;9,40;8,00;9,92;14,85;12,33;12,08;16,00;10,62;8,75;9,50;10,54;8,33;13,43;12,41;12,51;NI;NI
2017-2018;S2;77843268801;44;M.;GEORGE;Adolph;S;H;H2;13,05;13,70;9,17;14,13;16,63;13,42;14,27;13,33;11,75;12,31;12,33;14,00;9,21;11,33;13,92;12,75;16,13;NI;NI
2016-2017;S2;75054755756;24;M.;MAUDET;Dan;S;H;H2;16,43;17,12;18,20;13,25;19,50;18,23;17,39;16,17;14,50;15,63;18,63;17,75;13,26;13,33;17,73;14,31;14,65;NI;NI
2016-2017;S2;36237241074;63;M.;VALENTIN;Edison;S;F;F2;10,30;9,67;6,93;7,50;13,96;12,67;8,09;3,33;12,00;11,01;7,88;8,50;10,96;11,33;12,15;14,44;13,25;NI;NI
2017-2018;S2;69857527185;89;M.;RENOU;Wilburn;S;H;H2;10,22;9,58;4,00;10,50;13,38;7,42;10,81;6,67;11,25;10,95;9,00;7,00;8,75;10,67;13,50;16,81;12,25;NI;NI
2018-2019;S2;73944436357;93;M.;VUILLEMIN;Nimbus;S;F;F2;11,02;11,95;8,40;17,00;10,40;9,67;12,78;13,83;13,00;9,95;14,00;8,00;7,42;7,67;11,33;8,75;15,67;NI;NI
2018-2019;S2;21697493614;46;M.;RENOUX;Denton;TI2D;G;G2;13,36;13,09;11,77;11,25;12,40;12,00;15,38;18,01;9,00;13,67;16,56;7,00;15,52;13,67;13,83;14,00;13,10;NI;NI
2017-2018;S2;21697493614;91;M.;RENOUX;Denton;TI2D;H;H1;10,09;9,56;5,75;10,00;11,25;5,67;12,73;8,58;11,25;10,69;9,33;7,00;11,10;9,33;15,08;11,69;13,13;NI;NI
2016-2017;S2;49704526772;70;M.;CHARLOT;Willy;TI2D;H;H2;9,80;10,23;6,13;9,50;10,50;14,00;12,57;5,22;12,00;9,31;8,38;5,75;7,28;7,33;10,80;14,00;13,83;NI;NI
2017-2018;S2;22404367534;1;M.;GUERY;Mitchell;S;I;I1;20,00;12,48;6,25;8,88;16,00;12,92;15,12;11,17;11,50;12,62;13,00;8,00;10,36;15,00;16,00;13,50;16,88;19,00;NI
2017-2018;S2;98761517712;78;M.;BAYLE;Marquis;TI2D;G;G1;10,73;11,25;5,50;12,50;14,00;10,83;12,28;9,17;11,63;10,14;10,11;6,00;12,59;10,33;8,58;10,75;11,63;NI;NI
